Ag,-42615.84376385481
Au,-42329.76010361136
Co,-42658.67473443187
Cr,-40984.85410685641
Cu,-44090.475582467676
Fe,-43118.599723378036
Hf,-40053.63803315554
Ir,-41077.21501821903
Mo,-40459.45783363456
Nb,-43251.1992566982
Ni,-43268.77576073752
Os,-41301.696408721946
Pd,-45685.397340031
Pt,-41471.487533767504
Re,-41199.293047261555
Rh,-45112.57003896826
Ru,-41159.280665205275
Sc,-39878.70015240087
Ta,-40538.314136179455
Tc,-40786.84595043905
Ti,-40220.92076245304
V,-40571.10088438052
W,-40770.108363946376
Y,-39788.65460676133
Zr,-39947.585201697235
