Sc,-1.9539909300037834
Ti,-2.2532156300039787
V,-2.2383546300006856
Cr,-2.251740529998642
Co,-1.5889845300007437
Ni,-1.1791237300021749
Cu,-0.37321512999551487
Y,-1.503379429999768
Zr,-2.5322398300013447
Nb,-2.876319829996646
Mo,-2.2888572299962107
Tc,-2.603054629998951
Ru,-2.2672854299999017
Rh,-2.1578637300008268
Pd,-0.8228855300003488
Ag,-0.08454752999750781
Hf,-2.6988568299966573
Ta,-3.108484030006366
W,-2.6765194299987343
Re,-2.3806862300007197
Os,-2.6440027300013753
Ir,-2.61261672999899
Pt,-1.1785811300032947
Au,-0.48036153000066406
