Ag,-42634.67664499281
Au,-42348.122595222245
Co,-42677.13874101322
Cr,-41002.97548781015
Cu,-44109.45439560199
Fe,-43136.79887844758
Hf,-40071.182494415334
Ir,-41095.37763817967
Mn,-42555.995625336385
Mo,-40476.51800469764
Nb,-43268.16747120187
Ni,-43287.382684428536
Os,-41319.29543264058
Pd,-45703.71806024401
Pt,-41489.36986070143
Re,-41216.43140564548
Rh,-45130.92582773198
Ru,-41177.286883721
Sc,-39897.93374692562
Ta,-40555.340100612804
Tc,-40804.3330247692
Ti,-40238.37305694539
V,-40588.6457448315
W,-40786.75875505763
Y,-39807.85324198913
Zr,-39965.088467624424
