Sc,-1.357846727623837
Ti,-0.9968440196971642
V,-1.0185697344204527
Cr,-1.148109449655749
Fe,-0.7036757848472917
Co,-0.9122437891201116
Ni,-0.9156499756354606
Cu,-1.0787578051895252
Y,-1.4040492292260751
Zr,-1.1855864810349885
Nb,-1.2148425414707162
Mo,-1.1582780762764742
Tc,-1.3936434552815626
Ru,-1.5960171934057144
Rh,-1.1248200320478645
Pd,-0.873699662843137
Ag,-0.9662973227386829
Hf,-1.1978963724250207
Ta,-1.261638659685559
W,-1.1839050888665952
Re,-1.480489986613975
Os,-1.8021881457898417
Ir,-1.46175766151282
Pt,-0.7690699399245204
Au,-0.7318354981398443
