Ag,-42910.86113456791
Au,-42623.86426218325
Co,-42953.10511247246
Cr,-41278.87589639614
Cu,-44385.57296284882
Fe,-43412.80996666619
Hf,-40346.874808475346
Ir,-41371.38241906878
Mn,-42831.85784109522
Mo,-40753.144489660386
Nb,-43544.54627286687
Ni,-43563.31482517596
Os,-41595.94403244103
Pd,-45979.47654099063
Pt,-41764.92558375713
Re,-41493.08323815979
Rh,-45406.74337054179
Ru,-41453.78985602065
Sc,-40173.44727857556
Ta,-40831.51134667351
Tc,-41080.34862545364
Ti,-40514.26098978654
V,-40864.70426618711
W,-41063.607728150404
Y,-40083.40845387876
Zr,-40240.810000057085
