Ag,-42945.73293844622
Au,-42658.59514558807
Co,-42986.66562148452
Cr,-41312.152853952866
Cu,-44420.31062325185
Fe,-43446.428769019505
Hf,-40379.939848849164
Ir,-41404.42723021859
Mo,-40785.466099725614
Nb,-43576.659395065384
Ni,-43597.29054186098
Os,-41628.65327074895
Pd,-46013.87950911254
Pt,-41799.03679700411
Re,-41525.67858915571
Rh,-45440.088626389836
Ru,-41486.82319783911
Sc,-40207.657889066104
Ta,-40863.72579826077
Tc,-41113.27304767257
Ti,-40547.3756412975
V,-40897.65549938648
W,-41095.317851340944
Y,-40118.07489185383
Zr,-40274.000095299874
