Ag,-42596.83450225669
Au,-42310.96255905633
Co,-42640.43512975804
Cr,-40967.749271279834
Cu,-44071.536253613376
Fe,-43091.601554793924
Hf,-40034.33738566901
Ir,-41059.178541038986
Mn,-42520.09013072443
Mo,-40442.88718715236
Nb,-43233.90463877679
Ni,-43250.32312661495
Os,-41284.92438226182
Pd,-45666.82960455999
Pt,-41452.70336837566
Re,-41183.083351241396
Rh,-45094.14060732289
Ru,-41142.12023742669
Sc,-39859.269602063025
Ta,-40520.86817337081
Tc,-40770.12538766791
Ti,-40201.857209221576
V,-40554.076117656776
W,-40753.31350032205
Y,-39771.217388743
Zr,-39928.50278484569
