Ag,-42324.43117318348
Au,-42037.52784214993
Co,-42365.4179097554
Cr,-40690.66927656321
Cu,-43798.89639750666
Fe,-42825.38962529466
Hf,-39758.40648453674
Ir,-40782.63000461708
Mo,-40163.97235370934
Nb,-42955.10908458391
Ni,-42976.039423945345
Os,-41006.51561466316
Pd,-45392.6703415097
Pt,-41177.93225912419
Re,-40903.862631229094
Rh,-44818.62833841779
Ru,-40864.89171270571
Sc,-39585.96457439848
Ta,-40242.128691661084
Tc,-40491.54393627729
Ti,-39926.0433293378
V,-40276.30146171206
W,-40473.79847831208
Y,-39496.335374684604
Zr,-39652.47904087884
