Sc,-0.35215580000249247
Ti,-0.2719185999990259
V,-0.3458447999978489
Co,-0.2651911000025393
Ni,-0.21279939999976705
Cu,-0.20859329999393594
Y,-0.36499039999353045
Zr,-0.3958698000019467
Nb,-0.6124631999950907
Mo,-0.7183381000027111
Tc,-1.0391369000021768
Ru,-1.2139358000017637
Rh,-0.5515410000039083
Pd,-0.15285620000531708
Ag,-0.15030670000442115
Hf,-0.41077289999839195
Ta,-0.5168103999999403
W,-0.7531250999995791
Re,-1.2153178000039588
Os,-1.5575248000054671
Ir,-1.0850223000047663
Pt,-0.12405639999951745
Au,-0.13248780000458282
