Sc,1.664683512969023,N2,N2H*
Ti,1.5037687725085198,N2,N2H2*
V,1.2376022725107396,N2,N2H2*
Cr,1.4341295129674476,N2,N2H*
Fe,1.9641157725014273,N2,N2H2*
Co,1.7249694725065274,N2,N2H2*
Ni,1.886311772508234,N2,N2H2*
Cu,2.290886612969589,N2,N2H*
Zr,1.2446654725022746,N2,N2H2*
Nb,1.104723794233877,HNNH2*,H2NNH2*
Mo,1.0562184027711188,N2*,N2H2*
Tc,1.4026091027606884,N2*,N2H2*
Ru,1.391423902770693,N2*,N2H2*
Rh,1.2830658027649764,N2*,N2H2*
Pd,1.990161412974376,N2,N2H*
Ag,2.5718350129722602,N2,N2H*
Hf,1.1768224725124674,N2,N2H2*
Ta,1.2247260942394578,HNNH2*,H2NNH2*
W,1.0855610942389549,HNNH2*,H2NNH2*
Re,1.2965875027637952,N2*,N2H2*
Os,1.3602626027694344,N2*,N2H2*
Ir,1.241594302764351,N2*,N2H2*
Pt,2.000788272507234,N2,N2H2*
Au,2.505156912968632,N2,N2H*
